#t x x_dot energy
0 1 0 0.5
0.01001 1 -0.01001 0.50005
0.02002 0.9999 -0.02002 0.5001
0.03003 0.999699 -0.030029 0.50015
0.04004 0.999399 -0.040036 0.5002
0.0500501 0.998998 -0.05004 0.500251
0.0600601 0.998497 -0.06004 0.500301
0.0700701 0.997896 -0.070035 0.500351
0.0800801 0.997195 -0.0800239 0.500401
0.0900901 0.996394 -0.0900059 0.500451
0.1001 0.995493 -0.0999798 0.500501
0.11011 0.994492 -0.109945 0.500551
0.12012 0.993392 -0.1199 0.500602
0.13013 0.992192 -0.129843 0.500652
0.14014 0.990892 -0.139775 0.500702
0.15015 0.989493 -0.149694 0.500752
0.16016 0.987994 -0.159599 0.500802
0.17017 0.986397 -0.169489 0.500852
0.18018 0.9847 -0.179363 0.500903
0.19019 0.982905 -0.189219 0.500953
0.2002 0.981011 -0.199058 0.501003
0.21021 0.979018 -0.208878 0.501053
0.22022 0.976927 -0.218678 0.501103
0.23023 0.974738 -0.228457 0.501154
0.24024 0.972451 -0.238214 0.501204
0.25025 0.970067 -0.247949 0.501254
0.26026 0.967585 -0.257659 0.501304
0.27027 0.965006 -0.267345 0.501354
0.28028 0.962329 -0.277004 0.501405
0.29029 0.959557 -0.286637 0.501455
0.3003 0.956687 -0.296242 0.501505
0.31031 0.953722 -0.305819 0.501555
0.32032 0.950661 -0.315366 0.501606
0.33033 0.947504 -0.324882 0.501656
0.34034 0.944252 -0.334366 0.501706
0.35035 0.940905 -0.343818 0.501756
0.36036 0.937463 -0.353237 0.501807
0.37037 0.933927 -0.362621 0.501857
0.38038 0.930298 -0.371969 0.501907
0.39039 0.926574 -0.381282 0.501958
0.4004 0.922757 -0.390557 0.502008
0.41041 0.918848 -0.399793 0.502058
0.42042 0.914846 -0.408991 0.502109
0.43043 0.910752 -0.418149 0.502159
0.44044 0.906566 -0.427265 0.502209
0.45045 0.902289 -0.43634 0.502259
0.46046 0.897922 -0.445372 0.50231
0.47047 0.893464 -0.45436 0.50236
0.48048 0.888915 -0.463304 0.50241
0.49049 0.884278 -0.472202 0.502461
0.500501 0.879551 -0.481054 0.502511
0.510511 0.874736 -0.489858 0.502562
0.520521 0.869832 -0.498614 0.502612
0.530531 0.864841 -0.507321 0.502662
0.540541 0.859763 -0.515978 0.502713
0.550551 0.854598 -0.524584 0.502763
0.560561 0.849347 -0.533139 0.502813
0.570571 0.84401 -0.541641 0.502864
0.580581 0.838588 -0.550089 0.502914
0.590591 0.833082 -0.558484 0.502965
0.600601 0.827491 -0.566823 0.503015
0.610611 0.821817 -0.575106 0.503065
0.620621 0.816061 -0.583332 0.503116
0.630631 0.810221 -0.591501 0.503166
0.640641 0.8043 -0.599611 0.503217
0.650651 0.798298 -0.607663 0.503267
0.660661 0.792216 -0.615653 0.503317
0.670671 0.786053 -0.623584 0.503368
0.680681 0.779811 -0.631452 0.503418
0.690691 0.77349 -0.639258 0.503469
0.700701 0.767091 -0.647001 0.503519
0.710711 0.760615 -0.654679 0.50357
0.720721 0.754061 -0.662293 0.50362
0.730731 0.747432 -0.669841 0.503671
0.740741 0.740727 -0.677323 0.503721
0.750751 0.733947 -0.684738 0.503771
0.760761 0.727092 -0.692084 0.503822
0.770771 0.720165 -0.699363 0.503872
0.780781 0.713164 -0.706571 0.503923
0.790791 0.706091 -0.71371 0.503973
0.800801 0.698947 -0.720778 0.504024
0.810811 0.691732 -0.727775 0.504074
0.820821 0.684447 -0.734699 0.504125
0.830831 0.677092 -0.74155 0.504175
0.840841 0.66967 -0.748328 0.504226
0.850851 0.662179 -0.755031 0.504276
0.860861 0.654621 -0.76166 0.504327
0.870871 0.646997 -0.768212 0.504378
0.880881 0.639307 -0.774689 0.504428
0.890891 0.631552 -0.781088 0.504479
0.900901 0.623734 -0.78741 0.504529
0.910911 0.615852 -0.793654 0.50458
0.920921 0.607907 -0.799818 0.50463
0.930931 0.599901 -0.805904 0.504681
0.940941 0.591834 -0.811909 0.504731
0.950951 0.583707 -0.817833 0.504782
0.960961 0.57552 -0.823676 0.504833
0.970971 0.567275 -0.829437 0.504883
0.980981 0.558972 -0.835115 0.504934
0.990991 0.550613 -0.840711 0.504984
1.001 0.542197 -0.846222 0.505035
1.01101 0.533727 -0.85165 0.505086
1.02102 0.525202 -0.856992 0.505136
1.03103 0.516623 -0.862249 0.505187
1.04104 0.507992 -0.867421 0.505237
1.05105 0.499309 -0.872506 0.505288
1.06106 0.490575 -0.877504 0.505339
1.07107 0.481792 -0.882415 0.505389
1.08108 0.472959 -0.887237 0.50544
1.09109 0.464077 -0.891972 0.505491
1.1011 0.455149 -0.896617 0.505541
1.11111 0.446173 -0.901173 0.505592
1.12112 0.437153 -0.905639 0.505643
1.13113 0.428087 -0.910015 0.505693
1.14114 0.418978 -0.9143 0.505744
1.15115 0.409826 -0.918494 0.505795
1.16116 0.400632 -0.922597 0.505845
1.17117 0.391397 -0.926607 0.505896
1.18118 0.382121 -0.930525 0.505947
1.19119 0.372807 -0.93435 0.505997
1.2012 0.363454 -0.938082 0.506048
1.21121 0.354064 -0.94172 0.506099
1.22122 0.344637 -0.945264 0.506149
1.23123 0.335175 -0.948714 0.5062
1.24124 0.325678 -0.952069 0.506251
1.25125 0.316148 -0.955329 0.506302
1.26126 0.306585 -0.958494 0.506352
1.27127 0.296991 -0.961563 0.506403
1.28128 0.287365 -0.964536 0.506454
1.29129 0.27771 -0.967412 0.506505
1.3013 0.268027 -0.970192 0.506555
1.31131 0.258315 -0.972875 0.506606
1.32132 0.248576 -0.975461 0.506657
1.33133 0.238812 -0.977949 0.506708
1.34134 0.229023 -0.980339 0.506758
1.35135 0.21921 -0.982632 0.506809
1.36136 0.209373 -0.984826 0.50686
